subgroup,pass_percentage,pyramid,subject,middle_school
Hispanic,57,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Native Hawaiian,100,Fairfax,English Reading,Johnson (Fairfax Pyramid)
White,87,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Multiple Races,81,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Students with Disabilities,41,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Students without Disabilities,84,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Economically Disadvantaged,62,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Not Economically Disadvantaged,87,Fairfax,English Reading,Johnson (Fairfax Pyramid)
English Learners,24,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Homeless,50,Fairfax,English Reading,Johnson (Fairfax Pyramid)
Military Connected,92,Fairfax,English Reading,Johnson (Fairfax Pyramid)
All Students,89,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Female,90,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Male,89,Chantilly,Science,Rocky Run (Chantilly Pyramid)
American Indian,100,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Asian,95,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Black,83,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Hispanic,60,Chantilly,Science,Rocky Run (Chantilly Pyramid)
White,95,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Multiple Races,93,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Students with Disabilities,59,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Students without Disabilities,92,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Economically Disadvantaged,67,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Not Economically Disadvantaged,94,Chantilly,Science,Rocky Run (Chantilly Pyramid)
English Learners,28,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Homeless,100,Chantilly,Science,Rocky Run (Chantilly Pyramid)
Military Connected,100,Chantilly,Science,Rocky Run (Chantilly Pyramid)
All Students,92,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Female,93,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Male,91,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
American Indian,100,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Asian,97,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Black,89,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Hispanic,74,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Native Hawaiian,100,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
White,93,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Multiple Races,91,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Students with Disabilities,68,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Students without Disabilities,94,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Economically Disadvantaged,75,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Not Economically Disadvantaged,96,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
English Learners,33,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Homeless,100,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
Military Connected,93,Chantilly,English Reading,Rocky Run (Chantilly Pyramid)
All Students,91,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Female,93,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Male,90,Chantilly,Math,Rocky Run (Chantilly Pyramid)
American Indian,100,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Asian,98,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Black,90,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Hispanic,76,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Native Hawaiian,100,Chantilly,Math,Rocky Run (Chantilly Pyramid)
White,90,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Multiple Races,93,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Students with Disabilities,58,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Students without Disabilities,95,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Economically Disadvantaged,75,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Not Economically Disadvantaged,95,Chantilly,Math,Rocky Run (Chantilly Pyramid)
English Learners,41,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Homeless,100,Chantilly,Math,Rocky Run (Chantilly Pyramid)
Military Connected,100,Chantilly,Math,Rocky Run (Chantilly Pyramid)
All Students,82,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Female,87,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Male,78,Chantilly,English Reading,Franklin (Chantilly Pyramid)
American Indian,100,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Asian,90,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Black,60,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Hispanic,65,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Native Hawaiian,100,Chantilly,English Reading,Franklin (Chantilly Pyramid)
White,86,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Multiple Races,87,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Students with Disabilities,55,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Students without Disabilities,88,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Economically Disadvantaged,59,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Not Economically Disadvantaged,88,Chantilly,English Reading,Franklin (Chantilly Pyramid)
English Learners,28,Chantilly,English Reading,Franklin (Chantilly Pyramid)
Military Connected,95,Chantilly,English Reading,Franklin (Chantilly Pyramid)
All Students,83,Chantilly,Math,Franklin (Chantilly Pyramid)
Female,82,Chantilly,Math,Franklin (Chantilly Pyramid)
Male,84,Chantilly,Math,Franklin (Chantilly Pyramid)
American Indian,100,Chantilly,Math,Franklin (Chantilly Pyramid)
Asian,93,Chantilly,Math,Franklin (Chantilly Pyramid)
Black,56,Chantilly,Math,Franklin (Chantilly Pyramid)
Hispanic,66,Chantilly,Math,Franklin (Chantilly Pyramid)
Native Hawaiian,100,Chantilly,Math,Franklin (Chantilly Pyramid)
White,86,Chantilly,Math,Franklin (Chantilly Pyramid)
Multiple Races,83,Chantilly,Math,Franklin (Chantilly Pyramid)
Students with Disabilities,55,Chantilly,Math,Franklin (Chantilly Pyramid)
Students without Disabilities,90,Chantilly,Math,Franklin (Chantilly Pyramid)
Economically Disadvantaged,61,Chantilly,Math,Franklin (Chantilly Pyramid)
Not Economically Disadvantaged,89,Chantilly,Math,Franklin (Chantilly Pyramid)
English Learners,49,Chantilly,Math,Franklin (Chantilly Pyramid)
Military Connected,90,Chantilly,Math,Franklin (Chantilly Pyramid)
All Students,76,Chantilly,Science,Franklin (Chantilly Pyramid)
Female,74,Chantilly,Science,Franklin (Chantilly Pyramid)
Male,78,Chantilly,Science,Franklin (Chantilly Pyramid)
American Indian,100,Chantilly,Science,Franklin (Chantilly Pyramid)
Asian,82,Chantilly,Science,Franklin (Chantilly Pyramid)
Black,50,Chantilly,Science,Franklin (Chantilly Pyramid)
Hispanic,46,Chantilly,Science,Franklin (Chantilly Pyramid)
White,85,Chantilly,Science,Franklin (Chantilly Pyramid)
Multiple Races,81,Chantilly,Science,Franklin (Chantilly Pyramid)
Students with Disabilities,47,Chantilly,Science,Franklin (Chantilly Pyramid)
Students without Disabilities,82,Chantilly,Science,Franklin (Chantilly Pyramid)
Economically Disadvantaged,46,Chantilly,Science,Franklin (Chantilly Pyramid)
Not Economically Disadvantaged,84,Chantilly,Science,Franklin (Chantilly Pyramid)
English Learners,17,Chantilly,Science,Franklin (Chantilly Pyramid)
Military Connected,100,Chantilly,Science,Franklin (Chantilly Pyramid)
