census_year,census_block_total_population,hispanic_latino_pop,hispanic%,hispanic_group_AVG%,white_pop,white%,white_group_AVG%,black_or_african_american_pop,black%,black_group_AVG%,american_indian_alaska_native_pop,amerindian%,amerindian_group_AVG%,asian_overall_pop,asian%,asian_group_AVERAGE%,native_hawaiian_pacific_islander_pop,nativehawaiipi%,nativehawaiipi_group_AVERAGE%,some_other_race_pop,other%,other_group_AVG%,two_or_more_races_pop,two_or_more%,two_or_more_group_AVERAGE%,state,county,census_tract,census_tract_name,census_block_group,census_block__group_name,census_block,census_block_name,tract_group,tract_group_block,latitude,longitude,geoid,source
2020,15,2,13%,9%,10,67%,69%,,0%,1%,,0%,0.90%,3,20%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1042,Census Block 1042,492500/1,Census Tract 492500/Block Group 1/Census Block 1042,38.7968783,-77.3708238,5.16E+13,U.S. Census
2020,15,,0%,9%,14,93%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,1,7%,7%,51,59,492500,Census Tract 492500,2,2,2007,Census Block 2007,492500/2,Census Tract 492500/Block Group 2/Census Block 2007,38.7839331,-77.3855577,5.16E+13,U.S. Census
2020,16,7,44%,10%,1,6%,59%,4,25%,5%,,0%,0.20%,2,13%,14%,,0%,0.10%,,0%,1.50%,2,13%,10%,51,59,492000,Census Tract 492000,1,1,1017,Census Block 1017,492000/1,Census Tract 492000/Block Group 1/Census Block 1017,38.8272509,-77.3638402,5.16E+13,U.S. Census
2020,16,9,56%,10%,3,19%,59%,,0%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,2,13%,1.50%,2,13%,10%,51,59,492000,Census Tract 492000,2,2,2015,Census Block 2015,492000/2,Census Tract 492000/Block Group 2/Census Block 2015,38.8062829,-77.3442954,5.16E+13,U.S. Census
2020,16,1,6%,10%,6,38%,59%,,0%,5%,,0%,0.20%,4,25%,14%,,0%,0.10%,4,25%,1.50%,1,6%,10%,51,59,492000,Census Tract 492000,3,3,3020,Census Block 3020,492000/3,Census Tract 492000/Block Group 3/Census Block 3020,38.7901599,-77.3593848,5.16E+13,U.S. Census
2020,17,1,6%,7%,7,41%,45%,,0%,4%,,0%,0.30%,4,24%,37%,,0%,0.10%,3,18%,1.60%,2,12%,5%,51,59,491502,Census Tract 491502,3,3,3010,Census Block 3010,491502/3,Census Tract 491502/Block Group 3/Census Block 3010,38.8550696,-77.4118924,5.16E+13,U.S. Census
2020,17,2,12%,13%,,0%,36%,6,35%,11%,,0%,0.10%,6,35%,31%,,0%,0.00%,2,12%,1.30%,1,6%,8%,51,59,491707,Census Tract 491707,1,1,1015,Census Block 1015,491707/1,Census Tract 491707/Block Group 1/Census Block 1015,38.8699143,-77.377516,5.16E+13,U.S. Census
2020,17,1,6%,10%,14,82%,59%,,0%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,1,6%,1.50%,1,6%,10%,51,59,492000,Census Tract 492000,2,2,2023,Census Block 2023,492000/2,Census Tract 492000/Block Group 2/Census Block 2023,38.7954875,-77.3553543,5.16E+13,U.S. Census
2020,17,7,41%,9%,5,29%,69%,,0%,1%,,0%,0.90%,5,29%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2016,Census Block 2016,492500/2,Census Tract 492500/Block Group 2/Census Block 2016,38.7893435,-77.4081722,5.16E+13,U.S. Census
2020,17,4,24%,9%,7,41%,69%,3,18%,1%,1,6%,0.90%,1,6%,12%,,0%,0.30%,,0%,0.70%,1,6%,7%,51,59,492500,Census Tract 492500,2,2,2043,Census Block 2043,492500/2,Census Tract 492500/Block Group 2/Census Block 2043,38.7583012,-77.3879144,5.16E+13,U.S. Census
2020,17,4,24%,9%,7,41%,69%,2,12%,1%,,0%,0.90%,4,24%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2044,Census Block 2044,492500/2,Census Tract 492500/Block Group 2/Census Block 2044,38.7551495,-77.3912875,5.16E+13,U.S. Census
2020,18,3,17%,10%,10,56%,59%,2,11%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,3,17%,1.50%,,0%,10%,51,59,492000,Census Tract 492000,2,2,2012,Census Block 2012,492000/2,Census Tract 492000/Block Group 2/Census Block 2012,38.8129255,-77.3342132,5.16E+13,U.S. Census
2020,18,,0%,10%,3,17%,59%,6,33%,5%,,0%,0.20%,1,6%,14%,,0%,0.10%,,0%,1.50%,8,44%,10%,51,59,492000,Census Tract 492000,3,3,3025,Census Block 3025,492000/3,Census Tract 492000/Block Group 3/Census Block 3025,38.7876661,-77.3579684,5.16E+13,U.S. Census
2020,18,3,17%,9%,15,83%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1025,Census Block 1025,492500/1,Census Tract 492500/Block Group 1/Census Block 1025,38.795359,-77.3875608,5.16E+13,U.S. Census
2020,18,6,33%,9%,5,28%,69%,,0%,1%,,0%,0.90%,2,11%,12%,,0%,0.30%,5,28%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1034,Census Block 1034,492500/1,Census Tract 492500/Block Group 1/Census Block 1034,38.8042604,-77.3763263,5.16E+13,U.S. Census
2020,18,1,6%,9%,17,94%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2015,Census Block 2015,492500/2,Census Tract 492500/Block Group 2/Census Block 2015,38.7887855,-77.4128667,5.16E+13,U.S. Census
2020,18,3,17%,9%,13,72%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,2,11%,7%,51,59,492500,Census Tract 492500,2,2,2050,Census Block 2050,492500/2,Census Tract 492500/Block Group 2/Census Block 2050,38.7740078,-77.389096,5.16E+13,U.S. Census
2020,19,6,32%,9%,12,63%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,1,5%,7%,51,59,492500,Census Tract 492500,1,1,1047,Census Block 1047,492500/1,Census Tract 492500/Block Group 1/Census Block 1047,38.7860506,-77.3788734,5.16E+13,U.S. Census
2020,19,3,16%,9%,15,79%,69%,,0%,1%,,0%,0.90%,1,5%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,2,2,2028,Census Block 2028,492500/2,Census Tract 492500/Block Group 2/Census Block 2028,38.7807283,-77.3845352,5.16E+13,U.S. Census
2020,20,5,25%,10%,4,20%,59%,1,5%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,,0%,1.50%,10,50%,10%,51,59,492000,Census Tract 492000,1,1,1010,Census Block 1010,492000/1,Census Tract 492000/Block Group 1/Census Block 1010,38.8286962,-77.3612087,5.16E+13,U.S. Census
2020,20,6,30%,9%,9,45%,69%,2,10%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,3,15%,7%,51,59,492500,Census Tract 492500,1,1,1022,Census Block 1022,492500/1,Census Tract 492500/Block Group 1/Census Block 1022,38.8006707,-77.4010198,5.16E+13,U.S. Census
2020,20,1,5%,9%,14,70%,69%,,0%,1%,,0%,0.90%,4,20%,12%,,0%,0.30%,,0%,0.70%,1,5%,7%,51,59,492500,Census Tract 492500,2,2,2005,Census Block 2005,492500/2,Census Tract 492500/Block Group 2/Census Block 2005,38.7927059,-77.4037202,5.16E+13,U.S. Census
2020,21,,0%,10%,10,48%,59%,1,5%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,,0%,1.50%,10,48%,10%,51,59,492000,Census Tract 492000,2,2,2027,Census Block 2027,492000/2,Census Tract 492000/Block Group 2/Census Block 2027,38.8016895,-77.3284573,5.16E+13,U.S. Census
2020,21,1,5%,9%,18,86%,69%,,0%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,1,5%,0.70%,1,5%,7%,51,59,492500,Census Tract 492500,1,1,1006,Census Block 1006,492500/1,Census Tract 492500/Block Group 1/Census Block 1006,38.8127466,-77.4010129,5.16E+13,U.S. Census
2020,22,6,27%,16%,,0%,42%,7,32%,14%,,0%,0.20%,0,0%,20%,,0%,0.10%,5,23%,1.70%,4,18%,6%,51,59,491703,Census Tract 491703,2,2,2008,Census Block 2008,491703/2,Census Tract 491703/Block Group 2/Census Block 2008,38.8563149,-77.3628508,5.16E+13,U.S. Census
2020,22,1,5%,9%,18,82%,69%,,0%,1%,,0%,0.90%,1,5%,12%,,0%,0.30%,,0%,0.70%,2,9%,7%,51,59,492500,Census Tract 492500,2,2,2039,Census Block 2039,492500/2,Census Tract 492500/Block Group 2/Census Block 2039,38.7782182,-77.3846287,5.16E+13,U.S. Census
2020,23,8,35%,8%,4,17%,29%,1,4%,6%,,0%,0.00%,10,43%,50%,,0%,0.00%,,0%,0.90%,,0%,6%,51,59,491705,Census Tract 491705,1,1,1006,Census Block 1006,491705/1,Census Tract 491705/Block Group 1/Census Block 1006,38.8512191,-77.4014192,5.16E+13,U.S. Census
2020,24,6,25%,9%,2,8%,21%,7,29%,7%,,0%,0.20%,4,17%,57%,,0%,0.20%,,0%,0.60%,5,21%,6%,51,59,491501,Census Tract 491501,1,1,1020,Census Block 1020,491501/1,Census Tract 491501/Block Group 1/Census Block 1020,38.8430629,-77.4279434,5.16E+13,U.S. Census
2020,24,12,50%,28%,2,8%,32%,6,25%,5%,,0%,0.00%,4,17%,29%,,0%,0.00%,,0%,1.10%,,0%,4%,51,59,491602,Census Tract 491602,2,2,2014,Census Block 2014,491602/2,Census Tract 491602/Block Group 2/Census Block 2014,38.8778819,-77.4224853,5.16E+13,U.S. Census
2020,24,8,33%,10%,7,29%,59%,5,21%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,2,8%,1.50%,2,8%,10%,51,59,492000,Census Tract 492000,1,1,1008,Census Block 1008,492000/1,Census Tract 492000/Block Group 1/Census Block 1008,38.8292542,-77.3570996,5.16E+13,U.S. Census
2020,25,,0%,9%,5,20%,21%,6,24%,7%,,0%,0.20%,12,48%,57%,,0%,0.20%,,0%,0.60%,2,8%,6%,51,59,491501,Census Tract 491501,1,1,1014,Census Block 1014,491501/1,Census Tract 491501/Block Group 1/Census Block 1014,38.8416126,-77.4218103,5.16E+13,U.S. Census
2020,25,,0%,9%,9,36%,21%,,0%,7%,1,4%,0.20%,5,20%,57%,,0%,0.20%,,0%,0.60%,10,40%,6%,51,59,491501,Census Tract 491501,1,1,1018,Census Block 1018,491501/1,Census Tract 491501/Block Group 1/Census Block 1018,38.8435097,-77.4277858,5.16E+13,U.S. Census
2020,25,7,28%,12%,9,36%,43%,2,8%,9%,,0%,0.00%,0,0%,25%,,0%,0.10%,,0%,0.40%,7,28%,11%,51,59,491701,Census Tract 491701,3,3,3010,Census Block 3010,491701/3,Census Tract 491701/Block Group 3/Census Block 3010,38.8635288,-77.3740139,5.16E+13,U.S. Census
2020,25,11,44%,15%,,0%,32%,,0%,11%,1,4%,0.20%,6,24%,30%,1,4%,0.70%,,0%,0.50%,6,24%,10%,51,59,491704,Census Tract 491704,2,2,2009,Census Block 2009,491704/2,Census Tract 491704/Block Group 2/Census Block 2009,38.8525223,-77.3658347,5.16E+13,U.S. Census
2020,25,7,28%,15%,11,44%,32%,,0%,11%,,0%,0.20%,2,8%,30%,2,8%,0.70%,,0%,0.50%,3,12%,10%,51,59,491704,Census Tract 491704,2,2,2012,Census Block 2012,491704/2,Census Tract 491704/Block Group 2/Census Block 2012,38.8518836,-77.3652739,5.16E+13,U.S. Census
2020,25,,0%,10%,23,92%,59%,,0%,5%,,0%,0.20%,0,0%,14%,,0%,0.10%,1,4%,1.50%,1,4%,10%,51,59,492000,Census Tract 492000,1,1,1011,Census Block 1011,492000/1,Census Tract 492000/Block Group 1/Census Block 1011,38.8222654,-77.3416401,5.16E+13,U.S. Census
2020,25,,0%,9%,9,36%,69%,,0%,1%,,0%,0.90%,14,56%,12%,,0%,0.30%,,0%,0.70%,2,8%,7%,51,59,492500,Census Tract 492500,2,2,2006,Census Block 2006,492500/2,Census Tract 492500/Block Group 2/Census Block 2006,38.7925815,-77.4085329,5.16E+13,U.S. Census
2020,26,8,31%,16%,4,15%,42%,5,19%,14%,,0%,0.20%,5,19%,20%,,0%,0.10%,,0%,1.70%,4,15%,6%,51,59,491703,Census Tract 491703,1,1,1000,Census Block 1000,491703/1,Census Tract 491703/Block Group 1/Census Block 1000,38.8596327,-77.3583013,5.16E+13,U.S. Census
2020,26,2,8%,8%,21,81%,29%,1,4%,6%,,0%,0.00%,0,0%,50%,,0%,0.00%,1,4%,0.90%,1,4%,6%,51,59,491705,Census Tract 491705,1,1,1019,Census Block 1019,491705/1,Census Tract 491705/Block Group 1/Census Block 1019,38.8455946,-77.3937048,5.16E+13,U.S. Census
2020,26,4,15%,13%,11,42%,36%,,0%,11%,,0%,0.10%,7,27%,31%,,0%,0.00%,,0%,1.30%,4,15%,8%,51,59,491707,Census Tract 491707,1,1,1005,Census Block 1005,491707/1,Census Tract 491707/Block Group 1/Census Block 1005,38.8707917,-77.3770299,5.16E+13,U.S. Census
2020,26,,0%,9%,19,73%,69%,2,8%,1%,,0%,0.90%,3,12%,12%,2,8%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1033,Census Block 1033,492500/1,Census Tract 492500/Block Group 1/Census Block 1033,38.808624,-77.374239,5.16E+13,U.S. Census
2020,26,3,12%,9%,19,73%,69%,,0%,1%,,0%,0.90%,1,4%,12%,1,4%,0.30%,,0%,0.70%,2,8%,7%,51,59,492500,Census Tract 492500,2,2,2038,Census Block 2038,492500/2,Census Tract 492500/Block Group 2/Census Block 2038,38.7735732,-77.3818093,5.16E+13,U.S. Census
2020,27,2,7%,10%,3,11%,59%,,0%,5%,,0%,0.20%,20,74%,14%,,0%,0.10%,,0%,1.50%,2,7%,10%,51,59,492000,Census Tract 492000,2,2,2008,Census Block 2008,492000/2,Census Tract 492000/Block Group 2/Census Block 2008,38.8082585,-77.3419176,5.16E+13,U.S. Census
2020,27,1,4%,9%,15,56%,69%,,0%,1%,,0%,0.90%,11,41%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1009,Census Block 1009,492500/1,Census Tract 492500/Block Group 1/Census Block 1009,38.8190655,-77.3946825,5.16E+13,U.S. Census
2020,27,,0%,9%,25,93%,69%,,0%,1%,,0%,0.90%,2,7%,12%,,0%,0.30%,,0%,0.70%,,0%,7%,51,59,492500,Census Tract 492500,1,1,1037,Census Block 1037,492500/1,Census Tract 492500/Block Group 1/Census Block 1037,38.7988949,-77.3713101,5.16E+13,U.S. Census
2020,27,5,19%,9%,19,70%,69%,2,7%,1%,,0%,0.90%,0,0%,12%,,0%,0.30%,,0%,0.70%,1,4%,7%,51,59,492500,Census Tract 492500,2,2,2059,Census Block 2059,492500/2,Census Tract 492500/Block Group 2/Census Block 2059,38.7463982,-77.3800218,5.16E+13,U.S. Census
